Index,Commit Message Abstract,Score Abstract,Corresponding Changelog Sentence Abstract,Commit Desription Abstract,Label
1,Update history to reflect merge of #297 [ci skip],0.5390002,Update CI status badge (#363),,0
2,Update history to reflect merge of #81 [ci skip],0.5331538,Update CI status badge (#363),,0
3,Use new normalize_whitespace filter,0.965421,Use new normalize_whitespace filter (#143),Merge pull request 384,1
4,Require Ruby 2.3 (#222),1.0000001,Require Ruby 2.3 (#222),,1
5,Merge pull request #51 from jekyll/title-feed-meta,0.61058086,Properly render post content with Jekyll (#73),Merge pull request 381,0
6,Update history to reflect merge of #337 [ci skip],0.56216705,Update CI status badge (#363),,0
7,Update history to reflect merge of #258 [ci skip],0.5119177,Update CI status badge (#363),,0
8,Update history to reflect merge of #104 [ci skip],0.5341972,Update CI status badge (#363),Merge pull request 370,0
9,adopt @stve atom template,0.62423074,Use .atom extension in documented examples since we write an Atom feed (#359),,0
10,Update history to reflect merge of #154 [ci skip],0.5274637,Update CI status badge (#363),Merge pull request 365,0
11,Merge pull request #11 from pathawks/Jekyll-version,0.55305016,"Loosen Jekyll version requirements (#53, props @envygeeks)",,0
12,Consistent formatting,0.47324958,Consolidate regexps for stripping whitespace (#82),Merge pull request 363,0
13,Merge pull request #117 from jekyll/pr/smartify,0.5984289,Moved to @jekyll org (#3),,0
14,Merge pull request #159 from jekyll/pr/double-slash,0.5616691,Fix liquid error in Jekyll 3+ (link),,0
15,rubocop 0.55 (#223),0.989015,Rubocop 0.55 (#223),,1
16,Add documentation for disabling smartify filter (#205),0.9999999,Add documentation for disabling smartify filter (#205),Merge pull request 359,1
17,feed: fix checking for empty/blank excerpt,0.572206,"Check to ensure the post excerpt isn't blank before outputting (#57, props @parkr)",,0
18,Filter out drafts before applying limit,0.9267924,Filter out drafts before limit (#154),Merge pull request 332,1
19,Add tests for newlines in title,0.66256326,Replace newlines with spaces in title and summary elements (#67),,0
20,Update history to reflect merge of #127 [ci skip],0.5437905,Update CI status badge (#363),Merge pull request 357,0
21,consistent base variable,0.44904268,Assign url_base before first usage (#133),,0
22,Merge pull request #86 from jekyll/shuffle,0.57303333,Fix liquid error in Jekyll 3+ (link),Merge pull request 355,0
23,Update history to reflect merge of #272 [ci skip],0.4948743,Update CI status badge (#363),,0
24,Release: v0.13.0,0.86643445,Release: v0.12.0 (#271),,1
25,chore(dev): simplify require for version,0.5315773,Simplify minify regular expression (#141),Merge pull request 297,0
26,"Always use ""double quotes""",0.3162005,"Use type=""html"" to skirt around double escaping problem (#127)",,0
