Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
1,chore(deps): update dependency eslint to v8.25.0,0.98271513,chore(deps): update dependency eslint to v8.20.0 (4e06d87),,1
2,chore(deps): update dependency @types/supertest to v2.0.9,0.9856852,chore(deps): update dependency @types/supertest to v2.0.11 (95d29e7),,1
3,chore(deps): update dependency husky to v4.0.3,0.9756549,chore(deps): update dependency husky to v5.2.0 (0674d33),,1
4,chore(deps): update dependency @types/node to v18.11.7,0.9843089,chore(deps): update dependency @types/node to v16.11.13 (55dd912),,1
5,"Revert ""fix(): use absolute paths to typeorm classes""",0.886576,"Revert ""fix(): use absolute paths to typeorm classes"" (d6ba5d9)",,1
6,chore(deps): update dependency @types/jest to v24.0.18,0.9819225,chore(deps): update dependency @types/jest to v26.0.22 (047e409),,1
7,chore(deps): update dependency @types/node to v7.10.7,0.9786059,chore(deps): update dependency @types/node to v16.11.13 (55dd912),,1
8,chore(deps): update dependency jest to v26.2.1,0.97036994,chore(deps): update dependency jest to v26.2.2 (fd0a256),,1
9,chore(deps): update dependency ts-jest to v26.1.0,0.98703766,chore(deps): update dependency ts-jest to v26.5.1 (1c19681),,1
10,chore(): migrate to github issue forms,0.94527584,chore(): migrate to github issue forms (59a8770),,1
11,chore(eslint): fix errors,0.93925035,chore(eslint): fix errors (c649462),,1
12,Merge pull request #1133 from thiagomini/patch-1,0.9796679,Merge pull request #1133 from thiagomini/patch-1 (87dc611),,1
13,chore(deps): update dependency @types/supertest to v2.0.12,0.98617613,chore(deps): update dependency @types/supertest to v2.0.12 (1ec61eb),,1
14,chore(deps): update dependency @commitlint/cli to v17.0.1,0.98587364,chore(deps): update dependency @commitlint/cli to v17.0.1 (5394906),,1
15,chore(deps): update dependency lint-staged to v10.2.11,0.98132646,chore(deps): update dependency lint-staged to v10.2.0 (09b1e9c),,1
16,chore(deps): update dependency lint-staged to v12.5.0,0.98215866,chore(deps): update dependency lint-staged to v12.3.7 (9558148),,1
17,chore(deps): update dependency @types/jest to v26.0.22,0.9846427,chore(deps): update dependency @types/jest to v26.0.21 (0186634),,1
18,Merge pull request #570 from nestjs/renovate/uuid-8.x,0.98097265,Merge pull request #535 from nestjs/renovate/uuid-8.x (68f0556),,1
19,Merge branch 'IRCraziestTaxi-move-keepconnectionalive-into-retry',0.9510252,Merge branch 'IRCraziestTaxi-move-keepconnectionalive-into-retry' (39924fc),,1
20,chore(deps): update dependency rxjs to v6.5.1,0.984795,chore(deps): update dependency rxjs to v6.5.5 (3a8115a),,1
21,chore(): publish 6.1.1 release,0.6511571,chore(deps): update dependency release-it to v13.6.7 (c36ba15),,0
22,chore(deps): update nest monorepo to v9.0.6,0.9813523,chore(deps): update nest monorepo to v9.0.3 (7cd5624),,1
23,chore(deps): update dependency typeorm to v0.2.37,0.97883016,chore(deps): update dependency typeorm to v0.2.44 (06f9637),,1
24,chore(deps): update commitlint monorepo to v17.4.4,0.97313976,chore(deps): update commitlint monorepo to v16.2.4 (84955de),,1
25,Merge pull request #752 from nestjs/dependabot/npm_and_yarn/node-notifier-8.0.1,0.98571646,Merge pull request #752 from nestjs/dependabot/npm_and_yarn/node-notifier-8.0.1 (320f4eb),,1
26,Merge pull request #1236 from jevillard/fix-allow-adding-providers-loading-module-async,0.9811571,Merge pull request #1236 from jevillard/fix-allow-adding-providers-loading-module-async (7a43ef3),,1
27,chore(deps): update dependency jest to v27.3.0,0.97654843,chore(deps): update dependency jest to v27.3.0 (d0ab751),,1
28,chore(deps): update typescript-eslint monorepo to v5.11.0,0.98559463,chore(deps): update typescript-eslint monorepo to v5.24.0 (2e78711),,1
29,chore(deps): update dependency release-it to v15.9.0,0.9796561,chore(deps): update dependency release-it to v14.10.0 (3791456),,1
30,chore(deps): update dependency @types/jest to v28.1.1,0.9871028,chore(deps): update dependency @types/jest to v28.1.2 (71aa188),,1
31,chore(deps): update dependency ts-jest to v27.0.7,0.9890454,chore(deps): update dependency ts-jest to v27.1.0 (07d1608),,1
32,chore(deps): update dependency eslint-plugin-import to v2.23.2,0.9861708,chore(deps): update dependency eslint-plugin-import to v2.20.2 (3008039),,1
33,chore(deps): update dependency husky to v4.2.0,0.97520816,chore(deps): update dependency husky to v5.2.0 (0674d33),,1
34,chore(deps): update dependency jest to v27.1.1,0.98181075,chore(deps): update dependency jest to v27.0.6 (3ed0293),,1
35,chore(deps): update dependency postgres to v14.4,0.9633937,chore(deps): update dependency postgres to v14.4 (599b3e6),,1
36,chore(deps): bump cookiejar from 2.1.3 to 2.1.4,0.785413,chore(deps): bump minimist from 1.2.5 to 1.2.6 (0bc8435),,1
37,Update dependency husky to v3.0.8,0.8586707,chore(deps): update dependency husky to v4.3.8 (b476729),,1
38,chore(deps): update nest monorepo to v9.3.7,0.9823426,chore(deps): update nest monorepo to v7.0.3 (929ded4),,1
39,chore(deps): update nest monorepo to v7.6.8,0.9845916,chore(deps): update nest monorepo to v7.0.5 (7ba0624),,1
40,chore(deps): update dependency ts-jest to v26.5.5,0.9850348,chore(deps): update dependency ts-jest to v26.5.1 (1c19681),,1
41,"chore: remove optionalDependencies, move to dev",0.63884574,chore(deps): update dependency typeorm to v0.2.38 (deaabdc),,0
42,chore(deps): update dependency jest to v27.0.6,0.9827557,chore(deps): update dependency jest to v27.0.6 (3ed0293),,1
43,Merge pull request #1179 from nestjs/renovate/postgres-14.x,0.97546184,Merge pull request #1179 from nestjs/renovate/postgres-14.x (70d3f1a),,1
44,chore(deps): update nest monorepo to v6.7.2,0.9786854,chore(deps): update nest monorepo to v7.0.3 (929ded4),,1
45,chore(deps): update nest monorepo to v8.4.3,0.9822373,chore(deps): update nest monorepo to v8.2.4 (1a9dcef),chore(deps): update postgres docker tag to v15,1
46,added support for custom repositories,0.5109376,chore(deps): update dependency prettier to v2.6.2 (33cbae4),chore(deps): update node.js to v19.8,0
47,chore(deps): update dependency typescript to v3.4.5,0.97488046,chore(deps): update dependency typescript to v4.3.3 (ad0577a),,1
48,chore(deps): update dependency @types/node to v18.16.9,0.97506905,chore(deps): update dependency @types/node to v16.11.17 (02250ac),,1
49,chore(deps): update dependency pg to v8.3.0,0.9800035,chore(deps): update dependency pg to v8.3.0 (4ed4a53),,1
50,chore(deps): update postgres docker tag to v13.4,0.97965413,chore(deps): update postgres docker tag to v13.4 (80b4185),,1
51,chore(deps): update dependency @types/node to v18.15.11,0.98254406,chore(deps): update dependency @types/node to v16.11.15 (82799ea),,1
52,chore(deps): update dependency pg to v7.16.0,0.9750774,chore(deps): update dependency pg to v8.4.2 (2230911),,1
53,chore(deps): update typescript-eslint monorepo to v5.27.1,0.9887797,chore(deps): update typescript-eslint monorepo to v5.24.0 (2e78711),,1
54,chore(deps): update dependency ts-jest to v24.2.0,0.97235745,chore(deps): update dependency ts-jest to v25.4.0 (2f4e29d),,1
55,Merge pull request #15 from philipodev/patch-1,0.79958683,Merge pull request #1133 from thiagomini/patch-1 (87dc611),,1
56,chore(): release v8.1.2,0.723956,chore(deps): update dependency prettier to v2.3.0 (4f8c8da),,1
57,chore(deps): update dependency ts-jest to v25.2.0,0.9823813,chore(deps): update dependency ts-jest to v25.3.0 (05d0b86),,1
58,chore(deps): update dependency lint-staged to v10.1.1,0.98182493,chore(deps): update dependency lint-staged to v10.5.1 (6188041),,1
59,chore(deps): update dependency husky to v4.0.5,0.97897553,chore(deps): update dependency husky to v5.2.0 (0674d33),,1
60,chore(deps): update dependency lint-staged to v10.0.7,0.9824934,chore(deps): update dependency lint-staged to v10.5.1 (6188041),,1
61,chore(deps): update dependency lint-staged to v9.2.3,0.9811605,chore(deps): update dependency lint-staged to v10.2.0 (09b1e9c),,1
62,chore(deps): update dependency release-it to v12.6.1,0.96736,chore(deps): update dependency release-it to v13.6.2 (afe3b18),,1
63,chore(deps): update nest monorepo to v9.3.12,0.9823072,chore(deps): update nest monorepo to v7.0.3 (929ded4),,1
64,chore(deps): update typescript-eslint monorepo to v5.38.1,0.9866173,chore(deps): update typescript-eslint monorepo to v5.3.1 (5ed4796),,1
65,chore(deps): update dependency @types/jest to v26.0.8,0.9863079,chore(deps): update dependency @types/jest to v26.0.9 (c427b50),,1
66,chore(deps): update commitlint monorepo to v14,0.96787095,chore(deps): update commitlint monorepo to v16.2.4 (84955de),,1
67,chore(deps): update dependency ts-jest to v26.4.1,0.98467124,chore(deps): update dependency ts-jest to v26.5.1 (1c19681),,1
68,chore(deps): update dependency rxjs to v7.8.1,0.98326755,chore(deps): update dependency rxjs to v7.5.4 (1e17ac0),,1
69,chore(deps): update nest monorepo to v8.2.0,0.97873354,chore(deps): update nest monorepo to v8.0.8 (2a880ca),,1
70,chore(deps): update dependency rxjs to v7.5.7,0.9822135,chore(deps): update dependency rxjs to v7.5.4 (1e17ac0),,1
71,chore(deps): update dependency lint-staged to v10.2.6,0.98096824,chore(deps): update dependency lint-staged to v10.2.5 (04ca5db),,1
72,chore(deps): update dependency @types/node to v18.15.6,0.97526205,chore(deps): update dependency @types/node to v16.11.15 (82799ea),,1
73,Merge pull request #84 from nestjs/renovate/nest-monorepo,0.96045923,Merge pull request #1183 from nestjs/renovate/nest-monorepo (24422a2),chore(deps): update node.js to v19.7,1
74,test(): move to postgres,0.43113744,chore(deps): update postgres docker tag to v11.7 (f2495f1),,0
75,chore(deps): update typescript-eslint monorepo to v4.11.0,0.98624074,chore(deps): update typescript-eslint monorepo to v4.4.1 (82eb015),,1
76,chore(deps): update dependency release-it to v15.1.3,0.9748865,chore(deps): update dependency release-it to v13.3.1 (622e497),,1
77,chore(deps): update typescript-eslint monorepo to v5.30.0,0.98341155,chore(deps): update typescript-eslint monorepo to v5.3.1 (5ed4796),,1
78,chore(deps): update typescript-eslint monorepo to v4.6.1,0.9870969,chore(deps): update typescript-eslint monorepo to v4.4.0 (1b12573),,1
79,chore(deps): update dependency eslint-config-prettier to v8.3.0,0.97724247,chore(deps): update dependency eslint-config-prettier to v8.4.0 (d54f173),,1
80,chore(deps): update nest monorepo to v6.0.1,0.9805172,chore(deps): update nest monorepo to v8.0.6 (6680204),,1
