Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
1,Merge remote-tracking branch 'origin/master' into fuzzy-finder-support,0.5096744,Allow guests to use fuzzy-finder to open any remote editor shared by the host. Please note that this currently requires using an Atom dev build. Full support for this functionality will ship in a future beta version of Atom. (https://github.com/atom/teletype/pull/323),,0
2,Render link icon at bottom right of avatar,0.6071445,"All avatars now appear in the bottom right corner. Additionally, you'll now see a collaborator's avatar even when they switch their focus to something outside the portal. For example, if a guest starts editing a file that's not associated with the portal, you'll continue to see the guest's avatar, but it will have a reduced opacity to indicate reduced portal activity from that guest.",,0
3,Merge pull request #186 from atom/use-npm-modules,0.44288626,Update Teletype for compatibility with the upcoming release of Atom 1.25 (#301),,0
4,Merge branch 'master' into confirm-when-joining-via-external-app,0.3850819,"With Teletype 0.3.0, you can now share and edit multiple files simultaneously during your real-time coding sessions. (#262)",,0
5,Move HostPortalBinding management to PortalBindingManager,0.5989394,Prevent unnecessary console error when sharing a portal (#311),Fixes CI failure on stable,0
6,"Add minalist ""usage"" section to README",0.34041372,Allow guests to use fuzzy-finder to open any remote editor shared by the host. Please note that this currently requires using an Atom dev build. Full support for this functionality will ship in a future beta version of Atom. (https://github.com/atom/teletype/pull/323),,0
7,Don't disconnect tether when resizing editor,0.4431832,Properly dispose of portals when deactivating the package (#279),Fixes failing CI build,0
8,Remove reference to Safe Mode in ISSUE_TEMPLATE.md,0.5056196,Properly dispose of portals when deactivating the package (#279),,0
9,Simplify installation process for staff-ship,0.41704315,"Clean up guest's workspace when host closes portal (i.e., automatically close the tabs that were associated with the portal) (https://github.com/atom/teletype/pull/319)",,0
10,Fix #145,0.47251463,"Improve experience and help users report diagnostics for debugging package initialization errors (#317, #309)",,0
11,Show toggle-follow-host-cursor command only for guest editor,0.5158014,Allow guests to use fuzzy-finder to open any remote editor shared by the host. Please note that this currently requires using an Atom dev build. Full support for this functionality will ship in a future beta version of Atom. (https://github.com/atom/teletype/pull/323),,0
12,Use new portal.addEditorProxy API,0.52142763,Prevent unnecessary console error when sharing a portal (#311),,0
13,Merge pull request #162 from atom/add-meta-files,0.4351732,Update Teletype for compatibility with the upcoming release of Atom 1.25 (#301),Failing build on Dev channel,0
14,Merge pull request #121 from atom/color-status-bar-icon-based-on-portal-state,0.46557483,Prevent unnecessary console error when sharing a portal (#311),,0
15,"Show portals users are guests of, allowing to leave them too",0.54170847,"Clean up guest's workspace when host closes portal (i.e., automatically close the tabs that were associated with the portal) (https://github.com/atom/teletype/pull/319)",Bump lodash from 4.17.10 to 4.17.15,0
16,Include ability to remove recent collaborator,0.47541103,"Clean up guest's workspace when host closes portal (i.e., automatically close the tabs that were associated with the portal) (https://github.com/atom/teletype/pull/319)",Bump js-yaml from 3.12.0 to 3.13.1,0
17,Add TODO,0.35891098,Invite coworkers or friends to collaborate by sending them your portal URL. Collaborators can follow that link to join your portal and start coding together with you in real time. 👩‍💻:atom:🔗:atom:👨‍💻,Bumps lodash from 4.17.10 to 4.17.15. - Release notes - Commits Signed-off-by: dependabot[bot] support@github.com,0
18,:arrow_up: real-time-client,0.37619728,Provide quick access to Atom's package updates UI when prompting user to update Teletype due to a protocol change (#271),Bumps js-yaml from 3.12.0 to 3.13.1. - Release notes - Changelog - Commits Signed-off-by: dependabot[bot] support@github.com,0
19,Merge master into jasonrudolph-disable-signin-btn,0.37942976,"With Teletype 0.4.0, collaborators can now save buffers on the host. (#270) 💾📡🌟",Fix tests that run against Atom dev channel by upgrading to Ubuntu 16,0
20,:arrow_up: teletype-client to get tests passing on Electron 1.7,0.5128791,Provide quick access to Atom's package updates UI when prompting user to update Teletype due to a protocol change (#271),,0
21,Circumvent CSP errors so that we can target Atom < 1.20,0.44339114,Update Teletype for compatibility with the upcoming release of Atom 1.25 (#301),,0
